用户id,用户名,种子id,标题,小标题,体积,发布组,分类,分辨率,多集,新合集,旧合集,双语,NF,发布时间,单种工资,备注,总魔力,更新时间
92502,minionslsz,134947,I'm CZR S02E03 20200430 WEB-DL 1080p H264 AAC-HDSWEB,我是唱作人2/我是唱作人 第二季 第03期 | 嘉宾：张艺兴 郑钧 陈粒 GAI,1.87GB,HDSWEB,综艺,2K/1080p,2,,,,,2020-05-01 14:29:45,4000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135025,Hunting 2020 E33-E34 WEB-DL 1080p H264 AAC-HDSWEB,猎狐 第33-34集 | 王凯 王鸥 胡军,1.22GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-02 10:17:45,4000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135026,I'm CZR Bonus S02E03 20200501 WEB-DL 1080p H264 AAC-HDSWEB,开饭啦！唱作人2/我是唱作人2会员专享 第03期 | 嘉宾：张艺兴 郑钧 陈粒 GAI,0.79GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-02 10:34:36,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135126,Hunting 2020 E35 WEB-DL 1080p H264 AAC-HDSWEB,猎狐 第35集 | 王凯 王鸥 胡军,0.56GB,HDSWEB,电视剧分集,2K/1080p,,,,,,2020-05-02 22:48:17,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135128,My Sassy Deskmate 2020 WEB-DL 1080p H264 AAC-HDSWEB,你在我的右手边 第01-24集 （一次性放出全集） | 朱泳腾 李子雄 刘亚津,12.08GB,HDSWEB,剧集（合集）,2K/1080p,24,,,,,2020-05-02 22:55:51,48000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135129,Girls Up Bonus S02E08 20200502 WEB-DL 4k H265 AAC-HDSWEB,青春有你2会员升级版  第08期,1.64GB,HDSWEB,综艺,4k/2160p,,,,,,2020-05-02 23:04:50,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135181,Girls Up S02E16 20200502 WEB-DL 4k H265 AAC-HDSWEB,青春有你2 第16期 上下2集 | 嘉宾：蔡徐坤 Lisa 陈嘉桦 肖佳,4.39GB,HDSWEB,综艺,4k/2160p,2,,,,,2020-05-03 13:36:01,4000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135183,Produce 101 E00-E01 Part 1 20200421-20200502 WEB-DL 1080p H264 AAC-HDSWEB,创造营2020  第00-01期（上） | 嘉宾：黄子韬 鹿晗 毛不易 宋茜 大张伟,5.91GB,HDSWEB,综艺,2K/1080p,2,,,,,2020-05-03 13:42:41,4000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135184,Produce 101 Bonus E01 20200502 WEB-DL 1080p H264 AAC-HDSWEB,创造营2020评级全纪录 / 创造营2020 会员Bonus 第01期 | 嘉宾：黄子韬 鹿晗 毛不易 宋茜 大张伟,1.14GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-03 13:45:49,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135210,Produce 101 E01 Part 2 20200503 WEB-DL 1080p H264 AAC-HDSWEB,创造营2020  第01期（下） | 嘉宾：黄子韬 鹿晗 毛不易 宋茜 大张伟,3.06GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-03 20:58:28,2000,,,2020-05-11 23:47:54.500615
